task_id,task_name,refined_option1,refined_option2,refined_option3,refined_option4,refined_option5,answers
100,447fd412,"To make the output, you have to flip the input grid then adjust the pattern according to the yellow part of the resulting object. Ensure all existing red pixels shift positions. If the size has decreased, scale the pattern upwards proportionally.","To make the output, you have to rotate the input grid then modify the pattern based on the blue section of the final object. All existing red pixels need to be repositioned. If the size is unchanged, adjust the pattern proportionally.","To make the output, you have to delete the input grid then remove the pattern based on the red section of the resulting object. All positions of the existing red pixels must remain fixed. If the size has decreased, reduce the pattern size proportionally.","To make the output, you have to copy the input grid then duplicate the pattern based on the red section of the resulting object. All positions of the existing red pixels must stay in place. If the size has increased, expand the pattern size proportionally.","To make the output, you have to resize the input grid then erase the pattern according to the red section of the final object. Ensure all existing red pixels are moved. If the size has been increased, reduce the pattern size proportionally.",4
101,44d8ac46,"To make the output, you have to fill the area inside the gray shape with red if it is a square, leaving other shapes unchanged.","To make the output, you have to fill the center of the gray shape with blue if it is a square, leaving other shapes unchanged.","To make the output, you have to turn all gray shapes into black if they are not squares, leaving other shapes unchanged.","To make the output, you have to remove the red color if the gray shape is a square, leaving other shapes unchanged.","To make the output, you have to fill the outside of the gray shape with red if it is a square, leaving other shapes unchanged.",1
102,44f52bb0,"To make the output, you have to fill in the pixels with black if the input is symmetrical, and with orange if it is asymmetrical.","To make the output, you have to fill in the pixels with blue if the input is symmetrical, and with orange if it is asymmetrical.","To make the output, you have to erase the pixels with dark blue if the input is symmetrical, and with light orange if it is asymmetrical.","To make the output, you have to remove the pixels with navy if the input is asymmetrical, and with bright orange if it is symmetrical.","To make the output, you have to fill in the pixels with orange if the input is symmetrical, and with blue if it is asymmetrical.",2
103,4522001f,"To make the output, you have to...make grid 10x10. Note the column that the yellow square is in in the input. The red square in the column will indicate which corner in the output you should put a 5x5 blue square in the output. The yellow square indicates which corner another 5x5 blue square will touch it your new square in the output grid. So you will have two blue 5x5 squares touching each other corner to corner.","To make the output, you have to...make grid 9x9. Note the diagonal that the red square is in in the input. The green square in the diagonal will indicate which corner in the output you should put a 4x4 green square in the output. The red square indicates which corner another 4x4 green square will touch it your new square in the output grid. So you will have two green 4x4 squares touching each other corner to corner.","To make the output, you have to...make grid 8x8. Note the row that the blue square is in in the input. The yellow square in the row will indicate which corner in the output you should put a 3x3 yellow square in the output. The blue square indicates which corner another 3x3 yellow square will touch it your new square in the output grid. So you will have two yellow 3x3 squares touching each other side to side.","To make the output, you have to...make grid 9x9. Note the column that the blue square is in in the input. The red square in the column will indicate which corner in the output you should put a 4x4 green square in the output. The blue square indicates which corner another 5x5 green square will touch it your new square in the output grid. So you will have two green 5x5 squares side by side.","To make the output, you have to...make grid 7x7. Note the diagonal that the orange square is in in the input. The brown square in the diagonal will indicate which corner in the output you should put a 2x2 yellow square in the output. The orange square indicates which corner another 2x2 yellow square will touch it your new square in the output grid. So you will have two yellow 2x2 squares touching each other corner to corner.",2
104,4612dd53,"To make the output, you have to leave spaces on the sides of the shapes and use red to fill the top and bottom, resulting in incomplete forms.","To make the output, you have to modify the colors of the shapes by adding green to the sides in a curved manner, changing their appearance.","To make the output, you have to fill the centers of the circles with yellow in a random pattern, creating filled circular shapes.","To make the output, you have to reconnect the sides of the shapes with red in a straight line, forming complete rectangles.","To make the output, you have to disconnect the squares by using blue to fill the interior lines, leaving incomplete square shapes.",4
105,46442a0e,"To make the output, you have to create a grid twice as small as the input Divide the output grid into 4 quadrants Remove the input grid pixels in the upper right quad In the upper left quad place the input grid that's been rotated counter-clockwise 90 degrees In the lower right quad place the input grid original colored pixels In the lower left quad place a copy of the input grid that's been rotated 180 degrees","To make the output, you have to create a grid one-fourth the size of the input Divide the output grid into 3 quadrants Remove all the input grid pixels in all quads In the only remaining quadrant place the input grid Leave the other quadrants empty with no input grid placed","To make the output, you have to create a grid twice the size of the input Divide the output grid into 4 quadrants Remove all the input grid pixels in the upper right quadrant In the upper left quadrant place the input grid that's been rotated 90 degrees counter-clockwise In the lower right quadrant place the input grid colored pixels that have not been rotated In the lower left quad place a copy of the input grid that's been rotated counter-clockwise 180 degrees","To make the output, you have to create a grid twice the size of the input Divide the output grid into 4 quadrants Replicate the input grid pixels in the upper right quad In the upper left quad place the input grid that's been rotated clockwise 90 degrees In the lower right quad place the input grid colored pixels that has been rotated 180 degrees In the lower left quad place a copy of the input grid that's been rotated 90 degrees counter-clockwise","To make the output, you have to create a grid three times the size of the input Divide the output grid into 4 quadrants Place the replicated input grid pixels in the lower left quad In the upper left quad place the input grid that's been reflected horizontally In the lower right quad place the original input grid colored pixels In the upper right quad place a mirrored copy of the input grid",4
106,469497ad,"To make the output, you have to erase the input grid design in the larger grid. Create a border where the number of colors in the grid defines the columns. A grid with 4 colors results in 4 columns on the top and left. For the separate colored block, divide the number of colors by 2. Thus, a grid with 4 colors means a block of 2x2. Lastly, remove the row of red squares extending from each block corner to the border or grid edge.","To make the output, you have to recreate the input design in the larger grid. The grid's number of colors determines the border columns. If 3 colors are in the grid, make 3 columns on the bottom and right. For the colored block, multiply the number of colors by 3. Therefore, a grid with 3 colors results in a 9x9 block. Finish by adding a row of blue squares from each corner of the block to the border or grid edge.","To make the output, you have to recreate the input design in the larger grid. Create a border where the number of colors in the grid defines the rows. For example, if the grid has 4 colors, place 4 rows on the bottom and right. For the colored block, multiply the number of colors by 2, making a block of 8x8 if there are 4 colors. Lastly, make rows of red squares from each block corner to the border or grid edge.","To make the output, you have to remove parts of the input design in a smaller grid. The number of colors in the grid determines the border rows. With 5 colors, make 5 rows on the top and left. For the colored block, multiply the number of colors by 1. Thus, 5 colors mean a block of 5x5. Finally, remove rows of red squares extending from each block corner to the border or grid edge.","To make the output, you have to erase the input design in the smaller grid. The grid's number of shapes decides the border rows. With 6 shapes in a grid, place 6 rows on the bottom and right. For the shaped block, divide the number of colors by 3, giving a 2x2 block if there are 6 colors. Lastly, remove rows of red squares extending from each block corner to the border or grid edge.",3
107,46f33fce,"To make the output, you have to...reduce the colored pixels to a negligible size, effectively removing them from the grid. After this, double the size of the grid, ensuring it remains completely black.","To make the output, you have to...enlarge colored pixels to a cube by filling surrounding pixels. Then, double the grid size with the enlarged pixels retaining the same positions as before.","To make the output, you have to...reduce colored pixels to a small cube by eliminating surrounding pixels in certain directions. After this, halve the grid size and adjust pixel positions accordingly.","To make the output, you have to...expand colored pixels by filling pixels in specified directions, forming a cube. Then, double the grid size with the expanded pixels keeping their previous positions.","To make the output, you have to...increase the size of colored pixels by filling adjacent pixels in specified directions, forming a cube. The grid size remains unchanged, and the positions of the enlarged pixels stay the same.",4
108,47c1f68c,"To make the output, you have to copy the contents of the object located in the top-left corner and apply the same pattern to the remaining parts using the vertical and horizontal grid lines. Afterward, eliminate the vertical and horizontal lines and combine the quarter-sections.","To make the output, you have to copy the contents of the object located in the bottom-left corner and apply the reflections according to diagonal grid lines. Then, eliminate the diagonal lines and combine the sections.","To make the output, you have to replicate the pattern from the object in the top-right corner across the grid using vertical and horizontal lines that divide it into quarters. Then, add more vertical and horizontal lines and combine the sections.","To make the output, you have to copy the object located in the top-left corner throughout the entire grid without utilizing the vertical and horizontal dividing lines. Then, remove the lines and combine the sections.","To make the output, you have to reflect the object from the top-left corner to the opposite corner based on the vertical and horizontal lines, and then leave the lines intact while separating the sections.",1
109,484b58aa,"To make the output, you have to blend the colored squares in a way that removes the black areas and creates a seamless pattern throughout the grid.","To make the output, you have to fill the black squares with blue, disrupting the existing color scheme and introducing a new pattern.","To make the output, you have to leave the black areas unchanged and arrange the surrounding colors into vertical stripes throughout the grid.","To make the output, you have to change the black squares to white and invert all other colors to create a reversed color pattern.","To make the output, you have to fill the black squares with an alternate color pattern, forming a novel design within the existing grid.",1
110,48d8fb45,"To make the output, you have to...include only the non-black areas and ignore the rest.","To make the output, you have to...focus on the colored parts without the black background.","To make the output, you have to...utilize only the sections that are devoid of the gray square.","To make the output, you have to...use the colored segments around the gray square, but not the gray square itself.","To make the output, you have to...remove any section that includes the gray square.",4
111,4938f0c2,"To make the output, you have to use the same yellow template to form an uneven pattern around the green square.","To make the output, you have to use the same blue template to form a balanced pattern around the orange square.","To make the output, you have to use the same red template to form a balanced pattern around the green square.","To make the output, you have to use a different green template to form a balanced pattern around the red square.","To make the output, you have to use the same red template to form an uneven pattern around the yellow square.",3
112,496994bd,"To make the output, you have to copy the input grid and then rotate the colored cells towards the center of the grid.","To make the output, you have to copy the input grid and then mirror the colored cells onto the opposite end of the grid.","To make the output, you have to copy the input grid and then remove the colored cells from the opposite end of the grid.","To make the output, you have to flip the input grid and then change the colored cells to black.","To make the output, you have to reverse the input grid and then add extra colored cells to the middle of the grid.",2
113,49d1d64f,"To make the output, you have to imagine the grid with pixels at the corners expanded to a 1x1 size. For pixels along the edges, which are not at the corners, expand them to 3x3. Conversely, pixels in the middle remain 3x3. After all the expansions, add yellow color to the corner blocks of the newly created grid.","To make the output, you have to expand the pixels at the corners of the grid to a 2x2 size. For pixels along the left and right edges, expand them to 1x2. Conversely, the top and bottom edge pixels expand to 2x1. If a pixel is neither at the corner nor along the grid edges, expand it to a 1x1. Finally, color the corners of this new grid black.","To make the output, you have to reduce the pixels at the corners of the grid to a 1x1 size. For pixels along the left and right edges, reduce them to 1x1. Conversely, reduce the top and bottom edge pixels to 1x1. For central pixels, use 2x2 size. After all the reductions, add light blue color to the corners.","To make the output, you have to expand the pixels at the corners of the grid to a 1x1 size. For pixels along the left and right edges, expand them to 2x2. Conversely, the top and bottom edge pixels expand to 2x2. If a pixel is neither at the corner nor along the grid edges, expand it to a 2x2. Lastly, color the corners red.","To make the output, you have to expand the pixels upwards at the corners of the grid to a 3x3 size. For pixels along the left and right edges, expand them to 2x1. Conversely, expand the top and bottom edge pixels to 1x2. For central pixels, use a 1x1 size. Finally, color the corners green.",2
114,4be741c5,"To make the output, you have to identify the primary colors of the input grid. Use the colors of the distinct shapes in the input grid. If the input image is horizontal, align the output grid horizontally, and vice versa.","To make the output, you have to remove the primary colors from the input grid. If the input image is vertical, the output grid should be horizontal single pixels, and vice versa.","To make the output, you have to use colors different from the input grid. Choose colors not present in the input grid. If the input image is vertical, the output grid should be composed of horizontal pixels, and vice versa.","To make the output, you have to retain the primary colors from the input grid. Keep the colors of the internal shapes in the input grid. If the input image is vertical, the output grid can be composed of diagonal pixels, and vice versa.","To make the output, you have to convert the distinct shapes into a single color. Use the main color of the input grid. If the input image is vertical, the output grid should be composed of square pixels, and vice versa.",1
115,4c4377d9,"To make the output, you have to remove the grid after rotating it by 180 degrees and place it below the original grid.","To make the output, you have to attach the flipped input grid to the original grid's bottom edge.","To make the output, you have to flip the grid vertically and append it above the original.","To make the output, you have to place the input grid without any flips below the current grid.","To make the output, you have to delete the flipped input grid after placing it above the original.",3
116,4c5c2cf0,"To make the output, you have to erase the shape adjacent to the x and isolate the x without any adjacent shapes.","To make the output, you have to reverse the color of the x without altering any adjacent shapes.","To make the output, you have to move the corner shape of the x to the middle of the x.","To make the output, you have to shift the shape from the corner of the x to the center without any neighboring shapes.","To make the output, you have to replicate the corner shape of the x into all corners so the x is surrounded by the repeated shape.",5
117,50846271,"To make the output, you have to delete all gray units in the area with red units, creating random patterns with vertical and horizontal lines.","To make the output, you have to remove all gray units in the area containing red units without forming intersections with vertical and horizontal lines.","To make the output, you have to fill in gray units in the area containing red units with red blocks to form crosses made up of vertical and horizontal units.","To make the output, you have to replace gray units in the area with red units with blue blocks to create vertical lines.","To make the output, you have to fill in black units in the area containing red units with red blocks to make circles formed by vertical and horizontal lines.",3
118,508bd3b6,"To make the output, you have to fill the pixels with green color diagonally progressing through the light blue pixels. When encountering the red portion, consider it as a mirror and reflect the direction of the green pixel progression as if it were reflecting off the mirror.","To make the output, you have to fill the pixels with red color diagonally progressing through the light blue pixels. When encountering the blue portion, treat it as a wall and stop the red pixel progression entirely.","To make the output, you have to fill the pixels with green color horizontally progressing through the pink pixels. When encountering the red portion, treat it as a gap and continue the direction of the green pixel progression unchanged.","To make the output, you have to fill the pixels with yellow color vertically progressing through the light blue pixels. When encountering the blue portion, consider it an obstacle and reverse the direction of the yellow pixel progression vertically.","To make the output, you have to fill the pixels with brown color diagonally progressing through the light blue pixels. When encountering the red portion, consider it as a mirror and continue the brown pixel progression without reflection.",1
119,50cb2852,"To make the output, you have to...remove the shapes and fill the empty spaces with black color.","To make the output, you have to...change the shapes to green and the background to white.","To make the output, you have to...erase the shapes and fill the remaining grid space with black.","To make the output, you have to...fill the shapes with light blue but leave the boundary squares unchanged.","To make the output, you have to...replace the shapes with red and keep the internal squares varied in color.",4
120,5.12E+65,"To make the output, you have to shift the shape with the light blue dot to another section and modify its color.","To make the output, you have to replace all the shapes sharing the light blue dot's color.","To make the output, you have to invert the position of the shape that includes the light blue dot.","To make the output, you have to eliminate the shapes containing light blue dots and replace them with black.","To make the output, you have to duplicate the shape with the light blue dot and substitute the light blue dot with the shape's color.",5
121,5168d44c,"To make the output, you have to...rotate the green cube. If the red pixels align vertically, shift the green cube so that it lands on the next red pixel below. If the red pixels align horizontally, shift the green cube so that it lands on the next red pixel to the right.","To make the output, you have to...remove the red cube. If the green pixels align horizontally, remove the red cube adjacent to the green pixel to the right. If the green pixels align vertically, remove the red cube below the subsequent green pixel.","To make the output, you have to...reposition the red cube. If the green pixels align vertically, adjust the red cube so it centers on the subsequent green pixel below. If the green pixels align horizontally, adjust the red cube so it centers on the subsequent green pixel to the right.","To make the output, you have to...swap the red cube with a blue one. If the green pixels align horizontally, swap the red cube with a blue one so it centers on the previous green pixel to the left. If the green pixels align vertically, swap the red cube with a blue one so it centers on the previous green pixel above.","To make the output, you have to...retain the red cube. If the green pixels align horizontally, retain the red cube next to the green pixel to the left. If the green pixels align vertically, retain the red cube above the subsequent green pixel.",3
122,539a4f51,"To make the output, you have to...invert the pattern of the input grid on a 12x12 grid. Eliminate the colors provided in a path from the bottom-right to the top-left (excluding black). Empty the grid by removing all rows below the bottom-right and columns left of the already colored portion. If the same color doesn't appear, adjust coloring by the number of repetitions. Repeat this process until the entire 12x12 grid is blank.","To make the output, you have to...alter the pattern of the input grid on a 7x7 grid. Start by including the colors provided in a sequence from right to left (including black). Erase the grid by deleting one row above and one column to the left of the already colored portion. If colors repeat, adjust the border coloring by the number of repetitions. Repeat this process until the entire 7x7 grid is blank.","To make the output, you have to...replicate the pattern of the input grid on an 8x8 grid. Start by removing the colors provided in a sequence from the bottom-left to the top-right (excluding black). Fill the grid by removing one row above and one column to the left of the already colored portion. If different colors appear, adjust the border coloring by the number of repetitions. Repeat this process until the entire 8x8 grid is filled.","To make the output, you have to...reverse the pattern of the input grid on a 6x6 grid. Memorize the colors provided in a sequence from the bottom-right to top-left (excluding black). Fill the grid by removing rows and columns in the uncolored portion. If the same color is duplicated, leave gaps by the number of repeated colors. Repeat this process until the entire 6x6 grid is empty.","To make the output, you have to...replicate the pattern of the input grid on a 10x10 grid. Start by memorizing the colors provided in a sequence from the top-left to the bottom-right (excluding black). Fill the grid by adding one row below and one column to the right of the already colored portion. If the same color repeats, extend the border coloring by the number of repetitions. Repeat this process until the entire 10x10 grid is filled.",5
123,53b68214,"To make the output, you have to copy the input pattern exactly, and then rearrange the colors to their new positions within the 10x10 grid.","To make the output, you have to copy the input pattern exactly, and then extend the pattern using the same color until you reach the boundaries of the 10x10 grid.","To make the output, you have to copy the input pattern exactly, and then fill all remaining cells with a new color.","To make the output, you have to erase the input pattern, and then fill the 10x10 grid randomly with a different color.","To make the output, you have to copy the input pattern in reverse order, and place it at opposite sides of the 10x10 grid.",2
124,543a7ed5,"To make the output, you have to fill the inside of the pink boxes with yellow and outline each box with green.","To make the output, you have to remove the inside of the pink boxes and outline each box with yellow.","To make the output, you have to fill the inside of the pink boxes with blue and outline each box with red.","To make the output, you have to fill the inside of the pink boxes with gray and outline each box with brown.","To make the output, you have to outline the outside of the pink boxes with orange and fill each box with red.",1
125,54d82841,"To make the output, you have to add a blue block on the lower row of the grid beside the black block in the grid.","To make the output, you have to remove a yellow block from the upper row of the grid beneath the black block in the colored shapes.","To make the output, you have to add a yellow block on the bottom row of the grid underneath the black block in the design.","To make the output, you have to add a red block on the upper row of the grid below the black block in the arrangement.","To make the output, you have to remove a yellow block from the lower row of the grid next to the black block in the pattern.",3
126,54d9e175,"To make the output, you have to replace green by light blue, blue by pink, yellow by brown, red by orange colors and replace black boxes with the same color in the center.","To make the output, you have to replace blue by green, yellow by orange, green by gray, red by blue colors and leave the black grid unchanged.","To make the output, you have to replace red by green, blue by purple, yellow by pink, gray by orange colors and change black boxes to colorful ones at the center.","To make the output, you have to replace orange by blue, yellow by pink, gray by green, red by green colors and replace black boxes without changing their color.","To make the output, you have to replace green by red, blue by green, orange by light blue, red by yellow colors and replace the central part with black boxes.",1
127,5521c0d9,"To make the output, you have to count the columns in each object and shift it down by that many columns.","To make the output, you have to count the columns in each object and shift it up by that many columns.","To make the output, you have to count the rows in each object and move it down by that many rows.","To make the output, you have to count the rows in each object and shift it up by that many rows.","To make the output, you have to count the rows in each object and leave it at the same position.",4
128,5582e5ca,"To make the output, you have to...fill the entire grid with the color used least frequently in the input.","To make the output, you have to...select a color not present in the input and fill the entire grid with it.","To make the output, you have to...use a unique color for every square in the grid.","To make the output, you have to...fill the entire grid with the color used most frequently in the input.","To make the output, you have to...arrange the colors diagonally based on the input pattern.",4
129,5614dbcf,"To make the output, you have to see the locations of larger colored squares within the smaller squares. Do not consider the isolated gray squares. Each large colored square made of smaller squares corresponds to a single square in the output grid.","To make the output, you have to identify the small colored rectangles created from smaller squares. Do not include the individual gray squares. Each tiny colored rectangle made of smaller squares turns into one square in the output grid.","To make the output, you have to recognize the pattern of large colored squares within smaller squares. Do not account for the gray squares. Each small colored square made from smaller squares becomes a single rectangle in the output.","To make the output, you have to look for colored lines formed by smaller squares. Ignore the single gray squares. Each small colored line formed by smaller squares should be represented as one square in the output.","To make the output, you have to focus on larger colored squares made of smaller squares. Include the gray squares in your evaluation. Each large colored square formed from smaller squares changes into a single line in the output.",1
130,56dc2b01,"To make the output, you have to move the blue pattern alongside the yellow line. Then, isolate the blue pattern with a dark green line parallel to the yellow line.","To make the output, you have to move the yellow pattern until it meets the pink line. Then, surround the green pattern with a purple line parallel to the pink line.","To make the output, you have to move the red pattern until it matches the orange line. Then, enclose the red pattern with a white line parallel to the orange line.","To make the output, you have to move the yellow pattern up to the red line. Then, confine the purple pattern with a brown line parallel to the red line.","To make the output, you have to move the green pattern until it touches the red line. Then, confine the green pattern with a light blue line parallel to the red line.",5
131,56ff96f3,"To make the output, you have to take the colored as the vertex rather than the center point of the square assuming that the grid forms a rectangle.","To make the output, you have to take the colored as the start and finish point of the square assuming that the grid forms a rectangle.","To make the output, you have to exclude the colored as the start and finish point of shapes assuming that the grid forms a rectangle.","To make the output, you have to take the colored as the middle point and not the starting point of the square assuming that the grid forms a rectangle.","To make the output, you have to ignore the colored as the start and finish point of the square assuming that the grid forms a rectangle.",2
132,57aa92db,"To make the output, you have to partially recreate the incomplete object using any other hue except for the blue square, ignoring dimensions.","To make the output, you have to finalize the incomplete figure using the completed figure as a guide, including the blue square and accounting for both hue and dimensions.","To make the output, you have to eliminate the entire figure using the blue square as a guide, without considering hue during removal.","To make the output, you have to break down the incomplete object comprehensively, disregarding both hue and dimensions.","To make the output, you have to subtract parts of the completed figure using the yellow square as a guide, ignoring hue and dimensions in the process.",2
133,5ad4f10b,"To make the output, you have to...combine the structure of the big figure with the hues of dispersed pixels surrounding it. The large figure includes multiple segments that should be expanded into a new grid using each segment as an individual unit. When forming the new expanded figure, substitute its hues with those of the dispersed pixels around the prior large figure.","To make the output, you have to...study the design of the small figure and the hues of dispersed pixels around it. The small figure comprises various segments, which should be spread out into a new grid using each segment as an individual unit. When forming the new expanded figure, substitute its hues with those of the pixels around the preceding small figure.","To make the output, you have to...disregard the design of the big figure and the hues of dispersed pixels around it. The large figure contains multiple segments, which should be condensed into a new grid using each segment as an individual unit. When forming the new reduced figure, retain its original hues.","To make the output, you have to...analyze the design of the big figure and add colors to the pixels around it. The large figure includes various segments that should be condensed into a new grid using each segment as an individual unit. When forming the new reduced figure, utilize random hues for the pixels.","To make the output, you have to...examine the form of the large figure and the hues of dispersed pixels around it. The large figure consists of multiple segments, which should be condensed into a new grid using each segment as an individual unit. When forming the new reduced figure, substitute its hues with those of the pixels dispersed around the previous large figure.",5
134,5bd6f4ac,"To make the output, you have to want the central area of the grid focusing on replicating this segment into the output grid.","To make the output, you have to ignore the top right section, eliminate this part from the output grid.","To make the output, you have to choose the bottom left section and duplicate this area into the output grid.","To make the output, you have to keep only the bottom left part, removing the rest to form the output grid.","To make the output, you have to replicate the top right section into the output grid.",5
135,5c0a986e,"To make the output, you have to create a single line of squares matching the color of the boxes. Start with the upper left corner of blue and the lower right corner of red and go to the grid's edge.","To make the output, you have to create a scattered arrangement of squares matching the color of the boxes. Begin with the bottom left corner of blue and the top right of red and distribute them randomly across the grid.","To make the output, you have to create a vertical column of squares matching the opposite color of the boxes. Start from the lower right corner of blue and the upper left corner of red and move vertically towards the grid's edge.","To make the output, you have to erase a straight line of squares matching the color of the boxes. Begin with the upper left corner of red and the lower right corner of blue and remove them from the grid.","To make the output, you have to create two separate lines of squares matching the color different from the boxes. Start with any grid corner and move diagonally towards the bottom right for one line and the top left for the other.",1
136,5c2c9af4,"To make the output, you have to remove the inner dots and form a single large rectangle with the remaining dots. Keep making this rectangle until you fill the entire background with one continuous shape. The amount of black space between each shape should vary randomly, unlike the first shape's width.","To make the output, you have to replace the dots with lines in a way that they form parallel lines across the entire black background. Do not create any shapes or follow any line sequence similar to the dots' original placement. The spacing between the lines can be irregular and need not match the initial dot spacing.","To make the output, you have to use the two outer dots to form a square around the dot in the middle, then continue making squares surrounding the last square you created until you can not make any more. And do not stop when you can not get an entire square inside the black background; even if you have enough room to make one line and the rest of the square would be outside of the black background, then make that line. The amount of black space between each box should be the same width as the first square you created.","To make the output, you have to let the inner dot stay in the middle and extend lines from it in all four directions until the black background is filled with a grid. Do not make any squares, only lines radiating from the center dot. The width of the lines can be different from the spacing of the first dot.","To make the output, you have to use the two outer dots to create a triangle with the dot in the middle and then create subsequent triangles surrounding the last triangle. Stop creating triangles when you can no longer fit an entire triangle inside the black background. The amount of black space between each triangle should be different from the first triangle's width.",3
137,5daaa586,"To make the output, you have to delete the inner colored section from the input and then replace the center line with black pixels that match the surrounding colored pixels.","To make the output, you have to rotate the inner colored section in the input and then fill in the center line with random colors that do not match the existing pixels.","To make the output, you have to copy the outer colored section to the input and then leave the center part empty without filling any pixels.","To make the output, you have to leave the inner colored section in place and change the center pixels to the opposite color of the existing colored pixels instead of matching them.","To make the output, you have to copy the inner colored section to the input and then fill in the center line with the colors that match the surrounding pixels, starting from the colored edge and filling inwards to the colored pixel.",5
138,60b61512,"To make the output, you have to fill in the gaps in the 3x3 square with orange squares.","To make the output, you have to change the yellow squares in the 3x3 grid to black squares.","To make the output, you have to remove one line from the 3x3 grid of yellow pixels.","To make the output, you have to split the 3x3 grid of yellow squares into two equal parts.","To make the output, you have to delete all the yellow squares in the 3x3 grid.",1
139,6150a2bd,"To make the output, you have to turn the whole grid counterclockwise. Once you picture it, you can create the output grid.","To make the output, you have to flip the whole grid horizontally. Once you picture it, you can create the output grid.","To make the output, you have to not move the whole grid. Once you picture it, you can create the output grid.","To make the output, you have to rotate the whole grid two times. Imagine that the entire grid has been flipped both horizontally and vertically. Once you picture it, you can create the output grid.","To make the output, you have to rotate the whole grid upside down. Once you picture it, you can create the output grid.",4
140,623ea044,"To make the output, you have to...start with a single colored tile and subtract one to form a linear array.","To make the output, you have to...begin with a colored block and attach another to create a plus pattern.","To make the output, you have to...starta colored unit and append another to construct a diagonal cross.","To make the output, you have to...commence with a colored square and eliminate one to generate a right-angled figure.","To make the output, you have to...use a dark square and add another to design a ring shape.",3
141,62c24649,"To make the output, you have to place the input grid in the bottom left corner. Next, reflect the bottom left segment and place it in the top left corner. Afterward, reflect the top left and bottom left segments and place them in the top right and bottom right corners.","To make the output, you have to place the input grid in the bottom right corner. Then, reflect the bottom right segment and place it in the bottom left corner. After that, reflect the bottom left and bottom right segments and place them in the top left and top right corners.","To make the output, you have to place the input grid in the top left corner. Then, rotate the top left segment and place it in the top right corner. After that, rotate the top left and top right segments and place them in the bottom left and bottom right corners.","To make the output, you have to place the input grid in the center. Subsequently, reflect the center segment and place it in the four corners.","To make the output, you have to place the input grid in the top left corner. Then, reflect the top left segment and place it in the top right corner. Finally, reflect the top left and top right segments and place them in the bottom left and bottom right corners.",5
142,63613498,"To make the output, you have to erase the input grid. Match shapes outside the border with the same style and direction as the shape inside the grey border. Leave that shape unchanged. Alter the colored shape inside the grey border or shapes outside the grey border which do not align in shape and orientation with the one inside the border.","To make the output, you have to modify the input grid. Identify shapes outside the border with a different shape and orientation from the shape inside the grey border. Change that shape to grey. Modify the colored shape inside the grey border or shapes outside the grey border that do not match in shape and orientation with the shape inside the border.","To make the output, you have to copy the input grid. Find any shapes inside the border with different shapes and orientations from the shape inside the grey border. Turn that shape colorful. Change the colored shape outside the grey border or any shapes inside the grey border which match in shape and orientation with the shape inside the border.","To make the output, you have to copy the input grid. Find any shapes outside the border that match the shape and orientation of the shape inside the grey border. Turn that shape grey. Do not change the colored shape inside the grey border or any shapes outside the grey border that do not match in shape and orientation with the shape inside the border.","To make the output, you have to remove the input grid. Identify shapes outside the border that have different shapes and orientations from the shape inside the grey border. Change that shape to grey. Modify the colored shape outside the grey border or any shapes inside the grey border that match in shape and orientation with the shape outside the border.",4
143,6430c8c4,"To make the output, you have to...put the two sections over top of each other. Then you have to look at each block. A block that does not have any of the patterns from the old blocks is colored green. Any block that has patterns from either of the first blocks is colored black.","To make the output, you have to...put the two sections next to each other. Then you have to look at each block. A block that does not have any of the patterns from the old blocks is colored red. Any block that has patterns from either of the first blocks is colored pink.","To make the output, you have to...put the two sections diagonally to each other. Then you have to look at each block. A block that does not have any of the patterns from the old blocks is colored orange. Any block that has patterns from either of the first blocks is colored light blue.","To make the output, you have to...put the two sections apart from each other. Then you have to look at each block. A block that does not have any of the patterns from the old blocks is colored brown. Any block that has patterns from either of the first blocks is colored gray.","To make the output, you have to...put the two sections underneath each other. Then you have to look at each block. A block that does not have any of the patterns from the old blocks is colored blue. Any block that has patterns from either of the first blocks is colored yellow.",1
144,6455b5f5,"To make the output, you have to...fill the largest rectangle with gray. Fill the smallest rectangle with green. If there are multiple smallest shapes, fill them all with green.","To make the output, you have to...color the largest square orange. Paint the smallest square yellow. If there are multiple largest shapes, color all of them yellow.","To make the output, you have to...shade the largest form red. Mark the smallest form black. If there are several largest shapes, leave them uncolored.","To make the output, you have to...color the biggest shape blue. Paint the smallest shape light blue. If there are multiple smallest shapes, color all with light blue.","To make the output, you have to...shade the largest object pink. Mark the smallest object brown. If there are several largest shapes, fill them all with brown.",4
145,662c240a,"To make the output, you have to replicate a pattern using a 12x4 pixel grid and rearrange into one that consists of two 3x3 two-color non-diagonal sections, placed vertically apart.","To make the output, you have to replicate a diagonal symmetry using a 6x2 pixel grid and create one that consists of four 5x5 grid sections, each with two colors and connected horizontally.","To make the output, you have to replicate a specific pattern using a 9x3 pixel grid to generate one that uses three 3x3 two-color non-diagonal sections, connected vertically.","To make the output, you have to create a new 9x3 grid using three horizontally symmetrical 3x3 single-color sections, arranged vertically without touching.","To make the output, you have to generate a diagonally symmetrical design using a 9x3 pixel grid to form three 4x4 two-color sections, all connected vertically.",3
