task_id,task_name,description_input,description_output
133,5ad4f10b,"In the input, you should see...black background with large and colored pattern. And you can see many pixels with another color around the pattern.","To make the output, you have to...examine the shape of the large object and the colors of scattered pixels around it. The large object consists of multiple squares, which should be condensed into a new grid using each square as one pixel. When drawing the newly formed, reduced object, replace its colors with those of the pixels scattered around the previous large object."
134,5bd6f4ac,"In the input, you should see...random pattern with random color.","To make the output, you have to...want the top right corner, 3x3 grid - the top third and right third of the grid. Replicate this part into output grid."
135,5c0a986e,"In the input, you should see...two boxes, one red and one blue, that are 2x2.","To make the output, you have to...create a single line of boxes matching the color of the 2x2 box. Begin with the top left corner of the blue and the bottom right of the red and go out to the edge of the grid."
136,5c2c9af4,"In the input, you should see... three dots of one color in large black grid. They are alinged diagonally.","To make the output, you have to...use the two outer dots to form a square around the dot in the middle, then continue making squares surrounding the last square you created until you can not make any more. And do not stop when you can not get an entire square inside the black background, even if you have enough room to make one line and the rest of the square would be outside of the black background then make that line. The amount of black space between each box should be the same width as the first square you created."
137,5daaa586,"In the input, you should see...four colored lines that form a square or rectangular shape. And there are scattered single colored pixels.","To make the output, you have to...copy the inner square or rectangular shape to the input then fill in the middle from the color line that match the pixels already there, to the colored pixel. This can be up, down, left, or right, start from the colored edge and fill in to the pixel with the same color."
138,60b61512,"In the input, you should see...a couple of random shape of yellow objects.","To make the output, you have to...fill in the incomplete 3x3 square, consisting of yellow pixels, with orange pixels."
139,6150a2bd,"In the input, you should see.. a 3x3 grid with a multicolored shape in it.","To make the output, you have to...rotate the whole grid two times. Imagine that the entire grid has been flipped both horizontally and vertically. Once you picture it, you can create the output grid."
140,623ea044,"In the input, you should see...one colored pixel on a black background.","To make the output, you have to...start at the colored square and add a same colored square to make a x shape for the whole square."
141,62c24649,"In the input, you should see...a 3x3 grid with red blue and green colors.","To make the output, you have to...place the input grid in the top left 3x3. Then, reflect the top left 3x3 and place it in the top right 3x3. Now, reflect the top left and right 3x3 and place in the bottom left and right 3x3."
142,63613498,"In the input, you should see...a number of colored shapes including one with a grey border around it.","To make the output, you have to...copy the input grid. Find any shapes outside of the border which are exactly the same shape and orientation as the shape inside of the grey border. Turn that shape grey. Do not change the colored shape inside the grey border or any shapes outside of the grey border which do not have the same orientation and shape as the one inside the border."
143,6430c8c4,"In the input, you should see...one 9x4 grid separated into two grids with a yellow horizontal line. In a segmented grid, there is a random pattern composed of orange pixels at the top and a random pattern composed of red pixels at the bottom.","To make the output, you have to...put the two section over top of each other. Then you have to look at each block. A block that does not have any of the pattern from the old blocks is colored green. Any block that has pattern from either of the first blocks is colored black."
144,6455b5f5,"In the input, you should see...a number of horizontal and vertical red lines which create several rectangle sections.","To make the output, you have to...fill the largest black shape with blue. Fill the smallest black shape with light blue. If there is more than one shape with the smallest number of squares, fill all of the smallest shapes with light blue."
145,662c240a,"In the input, you should see...a 3x3 grid connected vertically to form a continuous 9x3 grid. Each 3x3 grid is composed of pixels in two different colors.","To make the output, you have to...replicate a non-diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 Two-color 3x3 grids, which are vertically connected in."
146,67385a82,"In the input, you should see...green pixels that are continuously connected in the up, down, left, and right directions, as well as green pixels that are separated or connected diagonally.","To make the output, you have to...change so that the top left corner color changes to light blue instead of green. same with lower green 2 by 2 grid."
147,673ef223,"In the input, you should see...two short red lines attached to the left and right sides. The two red lines are not facing each other. The upper red line has several light blue single pixels on the facing horizontal side.","To make the output, you have to...change the dot color from blue to yellow, and connect them to the red line using blue dots. Mirror the same pattern on the bottom but instead of stopping where the yellow dots would be, continue to the edge of the grid."
148,6773b310,"In the input, you should see...9 square sections divided by light blue vertical and horizontal lines. And you can see one or two pink pixels in each sections.","To make the output, you have to...hold 2 pink squares, represent that area with a blue box on the new grid. Single squares are shown as black."
149,67a3c6ac,"In the input, you should see...a random pattern of colors.","To make the output, you have to...create a right to left mirror image."
150,67a423a3,"In the input, you should see...two different color lines of different colors intersecting, one vertically and one horizontally. One line is overlapped by another lines.","To make the output, you have to...create a yellow square around the point where the two lines meet."
151,67e8384a,"In the input, you should see...a 3 x 3 grid with various color pattern.","To make the output, you have to...copy-paste the pattern in each corner. The pattern on the bottoms flips parallel to the top."
152,681b3aeb,"In the input, you should see...two differently colored pattern on a black background.","To make the output, you have to...piece the two shapes together to form a rectangular section."
153,6855a6e4,"In the input, you should see...two parallel red brackets facing each other. And behind each bracket, there is a gray object, one for each. The gray shapes are both different in shape.","To make the output, you have to...the grey shapes are finally in the interior of the red shapes. But not touching the red. And flipped on the vertical."
154,68b16354,"In the input, you should see...a grid of random colored pixels.","To make the output, you have to...flip the original grid vertically."
155,694f12f3,"In the input, you should see...two yellow color rectangles.","To make the output, you have to...fill the pattern by red and blue color surrounded by same color, the one with most internal block should be filled with red color."
156,6a1e5592,"In the input, you should see...a various types of gray shapes on the floor. Above them, there is a red panel with grooves corresponding to the shapes of the gray objects below.","To make the output, you have to...draw the shapes in blue to fill the empty black squares at the top, then color the gray squares black."
157,6aa20dc0,"In the input, you should see...a complete shape. In the diagonally opposite corners of this shape, there are two squares with different colors. These squarese with different colors are repeated in the same color and position relationship elsewhere or scaled up and repeates.","To make the output, you have to...color the grid as per the shape of unique shape."
158,6b9890af,"In the input, you should see...a large red square with emty inside and a smaller object of a different color.","To make the output, you have to...fill in the red square with the other colored object."
159,6c434453,"In the input, you should see...various blue shapes such as a + sign, a donut shape, a stick shape, and a cube shape.","To make the output, you have to...replace closed patterns with red sign with black corners."
160,6cdd2623,"In the input, you should see...a black background with a bunch of colored squares on it. You should also notice that only one of the colors has 4 pixels. And they are aligned vertically or horizontally.","To make the output, you have to...find 4 pixels positioned at the edges, sharing the same color and being aligned either vertically or horizontally. Once you identify these four pixels, connect them with a line of the same color, and erase any pixels of a different color."
161,6cf79266,"In the input, you should see...a grid filled randomly with a certain color and a black background.","To make the output, you have to...find identifiable 3x3 black square grid within the random pattern. And fill this black square with a 3x3 blue square."
162,6d0160f0,"In the input, you should see...9 sections divided eqaully by gray vertical and horizontal lines. And each section contains some color pixels. And there is only one yellow pixel.","To make the output, you have to...take the 3x3 area with a yellow square and move it into a 3x3 area corresponding to where the yellow square is within the 9 squares. Then make all other squares within the other 9 squares black and any grey squares within the 9 squares black. The lines of grey stay."
163,6d0aefbc,"In the input, you should see...a 3 by 3 grid with random color pattern.","To make the output, you have to...copy the grid and reflect it on the other half."
164,6d58a25d,"In the input, you should see...an up point shape with different colored squares around it.","To make the output, you have to...make vertical line under the point shape only where there is a square under it, with the same color of the square and draw it down to the bottom."
165,6d75e8bb,"In the input, you should see...a black background with a portion filled in with light blue.","To make the output, you have to...fill in the area of the large section with red to make a rectangular section. Background remain the same color."
166,6e02f1e3,"In the input, you should see...a 3x3 grid that may have between 1 and 3 colors.","To make the output, you have to...place 3 grey boxes in various spots based on how many colors there are in the input grid. If there is one color, put 3 grey boxes on the top of the grid. If there are two colors, place a diagonal line of grey boxes form top left to bottom right. If there are 3 colors, place a diagonal line of grey boxes going from bottom left to top right."
167,6e19193c,"In the input, you should see...two L-shaped areas consisting of three pixels, all the same color.","To make the output, you have to...fill a diagonal line starting from the center of L-shaped that continues until the edge of the grid, in the same color as the input grid."
168,6e82a1ae,"In the input, you should see...various gray blocks composed of 2, 3, or 4 gray pixels, each in different shapes.","To make the output, you have to...change a group of 2 blocks from gray to green, change a group of 3 blocks from gray to red, change a group of 4 blocks from gray to blue."
169,6ecd11f4,"In the input, you should see...a large grid with a large pattern of the same color, and a small pattern with many colors.","To make the output, you have to...reproduce the small rectangular pattern then reproduce the black pattern from the large rectangular area onto the small rectangular area."
170,6f8cd79b,"In the input, you should see...a black grid.","To make the output, you have to...create a light blue border around the grid. So, any squares that are touching the edges are filled in with light blue. The rest of the squares inside the light blue border remain black."
171,6fa7a44f,"In the input, you should see...a 3x3 pattern with random color.","To make the output, you have to...place the input grid in the top 3x3 space and create a mirror image in the bottom 3x3 space."
172,72322fa7,"In the input, you should see...the completed shape of the object. Also, you can also see the elements that make up a part of it.","To make the output, you have to...copy the input grid. Add colored pixels to the singletons such that they copy the exemplars."
173,72ca375d,"In the input, you should see...objects of various shapes made in a single color.","To make the output, you have to...copy one of the figures and just that figure."
174,73251a56,"In the input, you should see...a symmetrical pattern with respect to the top-left diagonal direction. However, some parts are obscured by a black rectangle.","To make the output, you have to...fill in the black spots with the appropriate missing tiles. Identify the pattern and continue the pattern so that it is repaired and complete again."
175,7447852a,"In the input, you should see...a continuous repeating diagonal pattern of red color horizontally.","To make the output, you have to...fill black parts with yellow color and leave two blocks between them, start fill the lower part from the left, then upper part two blocks away."
176,7468f01a,"In the input, you should see...a colored rectangles that contain other pattern with another color.","To make the output, you have to...copy only the colored rectagular objects and then mirror them horizontally."
177,746b3537,"In the input, you should see...pattern of colored vertical or horizontal lines.","To make the output, you have to...know the order of colors used in the image. For horizontal lines, arrange the pixels of the used colors vertically, and conversely, for vertical lines, arrange the pixels of the used colors horizontally. Consider consecutive coloring spanning two or more lines as a single line and represent it as one pixel."
178,74dd1130,"In the input, you should see...3x3 grid with random color pattern.","To make the output, you have to...mirror the pattern and focus the pattern around to the left."
179,75b8110e,"In the input, you should see...an 8x8 grid with a black background and 4 distinct quadrants. The top left quadrant shows a yellow pattern, the top right quadrant shows a gray pattern, the bottom left shows a pink pattern, the bottom right shows a brown pattern.","To make the output, you have to...copy the top-left (yellow) pattern. Then, place the bottom-right (brown) pattern on top. Then, place the bottom-left pattern (pink) on top. Then, place the top-right (gray) pattern on top. Imagine the black squares are transparent, so every time you superimpose each pattern the one below can be seen through the black squares."
180,760b3cac,"In the input, you should see...a 6x9 grid with a light blue object in the middle at the top, and a yellow object in the middle at the bottom.","To make the output, you have to...create a mirror image of the top shape and place it to the side of that shape."
181,776ffc46,"In the input, you should see...a specific-shaped object inside the gray border. Outside of it, there are various objects made of blue color, and among them, some have the same shape as the object inside the gray border.","To make the output, you have to...copy all shapes over to output including the gray borders. Change the colors of the same shapes that are in the gray border to the same color as the one in the gray border."
182,77fdfe62,"In the input, you should see...a centeral square made up of blue horizontal and vertical lines. At each corner, thre are four pixels of different colors. In the center, there are random patterns of light blue pixels.","To make the output, you have to...use the 4 colors from the corner to make the middle pattern."
183,780d0b14,"In the input, you should see...several different colors regions divided by black vertical or horizontal lines.","To make the output, you have to...put each color in one square that match their position in the big picture."
184,7837ac64,"In the input, you should see...multiple black squares of equal size created by vertical and horizontal lines. At the intersection points of these vertical and horizontal lines, there are pixels of a different color, occupying all the corners of single black square.","To make the output, you have to...fill the same color make square by four corners."
185,794b24be,"In the input, you should see...3x3 grid with some blue pixels.","To make the output, you have to...change the color of the blocks and move them all to the top of the grid and start filling in the blocks from left to right keeping the same number of blocks from the original grid."
186,7b6016b9,"In the input, you should see...multiple vertical and horizontal lines of various lengths, all of the same color. You can observe the areas completely enclosed by these horizontal and vertical lines.","To make the output, you have to...fill in all holes with red and fill the outside with green."
187,7b7f7511,"In the input, you should see...a pattern composed of pixels of various colors that repeat twice in the downward or rightward direction.","To make the output, you have to...get rid off one half of the input, may it be right, left or bottom half."
188,7c008303,"In the input, you should see...a grid with one light blue row and column. There is a one-colored pattern in one area and a multi-colored 2x2 grid in another area.","To make the output, you have to...extract only the portion corresponding to the green pattern into the output grid. Next, apply the 2x2 portion filled with the four colors from the input grid to the extracted green pattern. In this process, divide the green pattern into four parts and adjust the colors based on the 2x2 pixel colors."
189,7ddcd7ec,"In the input, you should see...2x2 grid square. In some corners of this square, there may be pixels of the same color.","To make the output, you have to...extend pixels of the same color diagonally from the 2x2 square, continuing to the edge."
190,7df24a62,"In the input, you should see...a 23x23 grid with a black background. There will also be random yellow pixels scattered around. Some of the yellow pixels will be surrounded with blue rectangles.","To make the output, you have to...copy and paste the exact same grid. Find all instances of the pattern that is surrounded in blue. Everywhere on the grid where there is the exact yellow pattern, surround it with blue. So, on all sides of the yellow boxes  will be blue boxes in the same pattern."
191,7e0986d6,"In the input, you should see...several rectangles with single color. And another color of many single pixels are scattered.","To make the output, you have to...remove scattered single pixels. Also, you should retain rectangles composed of a single color."
192,7f4411dc,"In the input, you should see...one color large rectangle patterns with single pixels scattered around.","To make the output, you have to...keep rectangles and remove scattered single pixels around them."
193,7fe24cdd,"In the input, you should see...a pattern with various colors on a 3x3 grid.","To make the output, you have to...imagine the 6x6 output grid is split into four squares. Copy the input pattern onto the top left square, rotate 90 degrees to the right for the top right square, rotate again for the bottom right, then again for the bottom left."
194,80af3007,"In the input, you should see...a black background, within which is a 9x9 pattern composed of nine solid 3x3 gray and black squares.","To make the output, you have to...reproduce the 9x9 pattern. Then, within each gray 3x3 square, reproduce the 9x9 pattern, so that each 3x3 gray square is a smaller version of the 9x9 pattern."
195,810b9b61,"In the input, you should see...various blue objects. Among them, some are completely surrounded by blue pixels, while others have empty spaces in the center.","To make the output, you have to...copy the input grid. Then, any shapes that are closed (like complete squares or rectangles) will be changed from blue to green. If any other shapes are open (incomplete) or are just lines, stay blue."
196,82819916,"In the input, you should see...one complete line and at least one incomplete line. Each line is made of two colors.","To make the output, you have to...copy the input grid. Then, you have to complete each incomplete line. Maintain the lines color scheme while matching the pattern of the single complete line."
197,83302e8f,"In the input, you should see...an array of black squares separated by a partially broken grid of colored lines.","To make the output, you have to...recolor from black to green for every black square that has fully solid borders. For every square that has broken borders, recolor from black to yellow. Leave border lines in the original color."
198,834ec97d,"In the input, you should see...a colored single pixel on the grid.","To make the output, you have to...make identical grid. push the color piece down 1x. Make a line of yellow above the color piece. Skip the line to the right and left and repeat only yellow lines on every other space."
199,8403a5d5,"In the input, you should see...a colored single pixel attached to the bottom of the grid.","To make the output, you have to...fill the grid color of input for one vertical line and leave the next vertical line black and fill the next vertical line with input color and repeat this starting the input grid color from left to right."
200,846bdb03,"In the input, you should see...two vertical line shapes with yellow squares at the top and bottom, and two other shapes that join together with colors that match the middle part of the vertical line shapes.","To make the output, you have to...rotate the blocks without the yellow so they fit between the blocks with the yellow on the end and the colors match up. All colors should fit within the two sets of blocks with the yellow on the end without a need to go beyond the yellow blocks."
201,855e0971,"In the input, you should see...the entire grid divided into multiple colors either horizontally or vertically, with a few black pixels scattered randomly.","To make the output, you have to...make one single line of black tiles, using the black tile provided, to cover the color block that it is located in either horizontally or vertically. You figure this out by determining which line would be shorter and create single black line in that manner. That is you have one black line that goes from the top of the color grid that it is in, to the bottom of that color grid. Or from side to side, depending on length."
202,85c4e7cd,"In the input, you should see...a grid with different colored square border that get smaller and smaller until it reaches the center.","To make the output, you have to...replace the inner most color with the outer most colors and complete the same steps with every color until all have been changed. In other words, invert the order of the colors."
203,868de0fa,"In the input, you should see...several blue square borders.","To make the output, you have to...fill the squares with an even number grid inside the blue border with red, and the rest (1x1, 3x3, 5x5) squares with the color you get from orange."
204,8731374e,"In the input, you should see...a rectangle grid within a large grid. Around the rectangle, there are a lot of random colored pixels. The single colored grid will contain some other color of pixel or pixels.","To make the output, you have to...replicate the rectangle to be a background grid. Then make the vertical and horizontal line that crosses at the color pixel."
205,88a10436,"In the input, you should see...multi-colored 3x3 shapes and a gray tile placed randomly in large grid.","To make the output, you have to...copy the input 3x3 multi-colored shape ontop of the gray square. This square comprises the middle of the 3x3 copy."
206,88a62173,"In the input, you should see...a black cross in the center that divide the four corners into 2x2 grid sections. There is one pattern in each section, and there are a total of four patterns. Among them, only one has a different shape.","To make the output, you have to...replicate a single 2x2 grid, which is different in shape from the other 2x2 grid patterns, at each of the four corners onto the output grid."
207,890034e9,"In the input, you should see...a large grid with one colored retangle border with black center. Around it, there are random pattern with two colors.","To make the output, you have to...copy the input grid. Next, find another area in the large grid with the same number and same shape of black grid as in the rectangle. However, it will only be black grid without the shape and the black grid might also be surrounded by black squares or have additional black squares around it. After you find the black grid, replicate the first shape with the black grid you find as the center. There should be two identical rectangles in the output grid."
208,8a004b2b,"In the input, you should see...four yellow squares and boxes of color within these yellow corners as well as a shape outside the yellow corner squares.","To make the output, you have to...copy the portion corresponding to the yellow corner squares into the output grid. Next, recreate the enlarged image of the object pattern that was outside the yellow corner squares within the yellow corner squares."
209,8be77c9e,"In the input, you should see...3x3 grid with some blue pixels.","To make the output, you have to...fill the top of the grid with the same as original. And fill the bottom of the grid with a mirror image of the original."
210,8d5021e8,"In the input, you should see...3x2 grid with random pattern with single color.","To make the output, you have to...put the input grid in the center of your output grid. then create repeat the patterns but flip them."
211,8d510a79,"In the input, you should see...a horizontal gray lines in middle. And two sections divided by gray lines contain blue and red pixels.","To make the output, you have to...complete a line with the colors. If it's red, fill the line in until you hit the gray bar. If it's blue, fill in until you hit the bottom or top edge."
212,8e1813be,"In the input, you should see...colored lines and a gray square.","To make the output, you have to...repeat the color lines in the same horizontal or vertical order as they appear in the input. The lines should go all the way across the grid to form stripes that are in the same color order and orientation as the input."
213,8e5a5113,"In the input, you should see...3 sections divided by 2 gray vertical line. Sections are 3x3 grid. In the leftmost section, there is a 3x3 square colored in various colors.","To make the output, you have to...copy the first square exactly. Then in the next black square rotate the color pattern 90 degrees to the right. Then in the final black square rotate the pattern another 90 degrees."
214,8eb1be9a,"In the input, you should see...a pattern of one color with the same shape repeating.","To make the output, you have to...copy the input grid, then copy the exact same pattern to fill in the whole black background."
215,8efcae92,"In the input, you should see...several blue rectangles on a black background. Inside of the blue rectangles, you can see the red pixels. The red pixels are separated from each other.","To make the output, you have to...make the grid the same size as the shape and the two colors are just like in the shape."
216,8f2ea7aa,"In the input, you should see...a single color of 3x3 grid pattern on a 9x9 black grid.","To make the output, you have to...imagine the original pattern is a 3x3 grid. What you need to do is copy the pattern in the 3x3 to the 9x9 grid. So you have 9 3x3 grid inside of the bigger grid(Top left, top middle, top right, middle left, middle, middle right, bottom left, bottom middle, bottom right). For example if the input pattern is a l shape you would only copy this to the top middle, middle and bottom middle grid."
217,90c28cc7,"In the input, you should see...one large rectangle divided into smaller rectangles of various colors.","To make the output, you have to...replace group of same color grids with single same color grid."
218,90f3ed37,"In the input, you should see...a complete line pattern running from left to right, at the top of the grid. Below that, there are a few incomplete short line patterns.","To make the output, you have to...finish the line so that it is the same as the top line but finish the line in blue."
219,913fb3ed,"In the input, you should see...several single colored pixels.","To make the output, you have to...surround green with pink color, light blue with yellow and red with blue."
220,91413438,"In the input, you should see...a single colored grid pattern on 3x3 black background grid.","To make the output, you have to...make the output repeat the pattern horizontally from the top of the grid by the number of the colored grid on the background using the unique background explained above."
221,91714a58,"In the input, you should see...a grid of random colors with a solid rectangle clearly visible.","To make the output, you have to...only copy the size and position of the solid rectangular block, except other single colored pixels."
222,9172f3a0,"In the input, you should see...3x3 grid with random color pattern.","To make the output, you have to...keep same color and pattern but increase to a 9x9 grid. Each tile in the input grid is a 3x3 grid pattern on the output. "
223,928ad970,"In the input, you should see...4 grey pixels and a colored rectangle border within the pixels.","To make the output, you have to...copy the input grid. Then, using the color of the colored rectangle, make the largest rectangle possible that will fit inside the four grey dots. The outside of the new rectangle should touch the inside of all four grey dots."
224,93b581b8,"In the input, you should see...a 6x6 grid with a 2x2 colored square composed of four different colors.","To make the output, you have to...copy the input grid. Then, you will add 4 2x2 blocks to the grid, each touching the corner of the 2x2 colored square in the input. The color of each 2x2 block should be the same color as the opposite corner of the 2x2 colored square. If the 2x2 colored square is not in the center of the input, some of the 2x2 blocks you are adding may be off the page."
225,941d9a10,"In the input, you should see...a gray grid breaking up the black background into many sections.","To make the output, you have to...fill the left-upper black area with blue; the middle with red; and the green in the right-down."
226,94f9d214,"In the input, you should see...is a 8x4 grid. The top 4x4 is a pattern of green pixels. The bottom is a 4x4 is a pattern of blue pixels.","To make the output, you have to...overlay the top 4x4 grid of green pixels over the bottom 4x4 grid of blue pixels or vice versa.After you complete the overlay whichever pixels are still black will be changed to red in the output. All the other pixels which are green, blue, or both will be changed to black"
227,952a094c,"In the input, you should see...a grid with a square or rectangle composed of monochromatic pixels with a differently colored pixel at each of the interior corners of the rectangle.","To make the output, you have to...copy the input grid to the output workspace. Move each of the interior corner colored pixels to the exterior corner opposite of their input position. Meaning, move the upper left interior pixel such that its corner is touching the lower left corner of the lower left corner pixel of the monochromatic rectangle or square. You're moving pixel at a 45 degree angle to the exterior opposite corner, do that with each interior corner square to create the correct output grid."
228,9565186b,"In the input, you should see...3x3 grid with various color of pixels.","To make the output, you have to...keep the color with the most squares and everything else should be gray."
229,95990924,"In the input, you should see...several 2x2 gray squares.","To make the output, you have to...surround each square with the following, connected diagonally to each of the corners: Blue on the top left, Red on the top right, Green on the bottom left, Yellow on the bottom right. The end result should almost resemble a flower, with a gray center and four colored petals."
230,963e52fc,"In the input, you should see...a horizontal colored line in the middle repeating same pattern.","To make the output, you have to...repeat the same pattern of colors in the input pixels to the grid created in the output in the same position."
231,97999447,"In the input, you should see...one or more single pixels with various colors on a black grid.","To make the output, you have to...copy the input grid. Then, to the right of the first colored block, place a gray block. After the gray block, continue to the right and place a block of the original color. Continue the pattern of original color followed by gray until you reach the right side. Do this with each original colored block."
232,97a05b5b,"In the input, you should see...a red grid with black blocks missing. As well as 3x3 small grid blocks with red blocks that fit the black blocks in the large red grid.","To make the output, you have to...fit the red blocks in the small grid blocks where they go on the large red grid with the colored blocks as well."
233,98cf29f8,"In the input, you should see...two rectangles of different colors. The two rectangles are connected by a single line of the same color as one of the rectangles.","To make the output, you have to...remove the colored squares that create a floor to the other pattern. you bring the patterns together by moving the pattern that is the same color as the line you remove."
234,995c5fa3,"In the input, you should see...three 4x4 grey grids divide by black lines.","To make the output, you have to...make three rows of three different solid colors corresponding to the grey 4x4 blocks. The first 4x4 block is the color of the top row, and so on.Grey 4x4 with a 2x2 black box in the middle = light blueGrey 4x4 with no black = redGrey 4x4 with black box center bottom = yellowGrey 4x4 with two 1x2 black lines on the left and right = greenIf there are any more, they are a different color."
235,99b1bc43,"In the input, you should see....two 4x4 grid sections divided by a horizontal yellow line. For upper section, there is random blue pattern. For below section, there is random red pattern.","To make the output, you have to...compare the squares in the top and bottom 4x4 square. If they match (both black or both color) make the output square black. If they do not match, make the output square green."
236,99fa7670,"In the input, you should see...some colored single pixels.","To make the output, you have to...extend the colored block horizontally until the right edge, then extend the block downward until the block meets the bottom edge or other colored block. "
237,9aec4887,"In the input, you should see...a colored rectangle object without corner pixels. And a light blue object that fits perfectly inside the rectangle object's internal size.","To make the output, you have to...copy the colored object and copy the light blue object inside the colored object. Then change the middle light blue blocks adjacent to the colored outlines to the same color."
238,9af7a82c,"In the input, you should see...multiple color of random pattern.","To make the output, you have to...straighten out the shapes to become lines, hanging from the top of the new grid. The shapes will be arranged by length, longest starting at the left and shortest at the right. The largest shape should start at the top left and extend all the way down to fill the grid. The next biggest shape will fill in next to it and extend down the number of blocks of the original shape. The next smallest shape will go next extend down the number of blocks of the original shape. Do this until all shapes fill the grid horizontally. The empty space extending below the straightened shapes (now lines) in the bottom-right of the grid will be black."
239,9d9215db,"In the input, you should see...several color pixels in one corner.","To make the output, you have to...take the main color and create a border frame from the location it is in. take the color next to it and put it on the end point of the border frame. take the color box that is further away and copy that into the 4 directions making sure they are mirror images. A black box should be between each color box."
240,9dfd6313,"In the input, you should see...two sections divided by a gray diagonal line from the top left to the bottom right. There are some colored pixels in the left bottom section.","To make the output, you have to...rotate the pattern 90 degrees to the right and then flip it over to it's reverse. the output should be an 90 degrees mirror image of the input."
241,9ecd008a,"In the input, you should see...a radial symmetric pattern, but some parts are obscured by a 3x3 black grid.","To make the output, you have to...finish the pattern that would be in the black square section."
242,9edfc990,"In the input, you should see...randomly filled with color pixels on balck background.","To make the output, you have to...fill out the blue color to the area of where the blue block exists. when there is no blue block there is no need to fill up, just leave those blocks as empty."
243,9f236235,"In the input, you should see...multiple sections divided eqaully by horizontal and vertical lines. Some sections are filled with color pixels, fully.","To make the output, you have to...avoid the lines that create the boxes, and instead focus on the pattern. Copy the pattern so that it is mirrored horizontally (left to right). You should end up with only the pattern from the input."
244,a1570a43,"In the input, you should see...a black grid with 4 pixels evenly spaced from each other to create a sort of square and a different colored collection of pixels that create a random shape.","To make the output, you have to...think of the 4 pixels as a picture frame. Reposition the random shape to be centered in that frame."
245,a2fd1cf0,"In the input, you should see... a black background with a red pixel and a green pixel.","To make the output, you have to...create a road of light blue squares between the red and green squares. The road should travel up or down from the green square and left or right from the red square until the two meet."
246,a3325580,"In the input, you should see...black grid with colored objects in different amounts of the same color.","To make the output, you have to...will be created by making vertical rows of the same color boxes with the largest number of colors."
247,a3df8b1e,"In the input, you should see...a single blue pixel at the bottom left corner.","To make the output, you have to...draw a blue dot one to the right and one up from the original one, follow that pattern until you reach the side, then draw a blue dot one to the left and one up until you reach the other side, repeat until you reach the top."
248,a416b8f3,"In the input, you should see...a random pattern with various color pixels.","To make the output, you have to...copy the pattern exactly to the new empty section. There should be two of the same pattern side-by-side."
249,a48eeaf7,"In the input, you should see...a 2x2 red square with some gray pixelsblocks far from it.","To make the output, you have to...move the blocks until they touch the red square on the same line."
250,a5313dff,"In the input, you should see...red vertical and horizontal lines. You can see the areas completely enclosed by lines, and you can also see a single red pixel.","To make the output, you have to...color the inside blue but if the border of shape goes outside the grid leave inside black."
251,a5f85a15,"In the input, you should see...diagonal lines of colored pixels.","To make the output, you have to...replicate the input grid, then change the color of every even-numbered pixel starting from the top-left pixel of each diagonal line to yellow."
252,a61ba2ce,"In the input, you should see...four patterns, each composed of three pixels of different colors, but they have the same shape when rotated.","To make the output, you have to...follow the colored pattern and put them on all the corners exactly how the pattern is placed. Then fill in the middle 4 squares with black."
253,a61f2674,"In the input, you should see...several gray vertical lines of varying lengths. They are attached to the floor.","To make the output, you have to...change the shortest group of blocks from gray to red, change the tallest group of blocks from gray to blue. Change the remaining gray blocks to black."
254,a64e4611,"In the input, you should see...a thick black horizontal and vertical line intersecting to form a certain shape. The surrounding area is filled with random pixels of a single color.","To make the output, you have to...fill the black grid with green surrounding with continue black grid."
255,a65b410d,"In the input, you should see...a black grid with a small horizontal line in red. The red horizontal bar is attached to the left side.","To make the output, you have to...copy your red input boxes to the output grid. And then, you need to add green bars above the red bar and blue bars below it, all attached to the left side. Furthermore, the green bar should increase in length by one square each time it moves up from the red bar, while the blue bar should decrease in length by one square each time it moves away from the red bar. The green bar continues this process all the way up to the top of the grid, while the blue bar repeats until it becomes one square in length."
256,a68b268e,"In the input, you should see...four sections composed with 4x4 grids placed on with a blue line dividing them. Each 4x4 grid section is their own colors and pattern.","To make the output, you have to...take the top left 4x4 on output. add top right 4x4 pattern. do not cover the first color. do the same for each section."
257,a699fb00,"In the input, you should see...a pattern of blue pixels with black space between them.","To make the output, you have to...fill the black sections between two blue sections with red."
258,a740d043,"In the input, you should see...a blue background grid with a pattern some place.","To make the output, you have to...copy the rectangle that contain the full colored pattern, then replace the background color with balck."
259,a78176bb,"In the input, you should see...a single color diagonal line with grey color objects attached to the line.","To make the output, you have to...keep the original diagonal color and fill the grey color with black. copy the same diagonal color on the grey color side by keeping space number of original square size make by grey color."
260,a79310a0,"In the input, you should see...a random shape of one single color (light blue) on a black background.","To make the output, you have to...move colored square one line down and change to red."
261,a85d4709,"In the input, you should see.. in each row of 3x3 grid, some grey pixels either in the first column, second or third column.","To make the output, you have to...check the position of the grey pixels. Where the grey pixel is in the first column, the corresponding pixels in that raw in the output should have color red. If the pixel is in the middle column, the corresponding pixels in the output should be yellow. Where the grey pixel is in the the last column , the corresponding pixel in that raw in the output should be green."
262,a87f7484,"In the input, you should see...a rectangle by concatenating some 3x3 one colored patterns. One of them is unique.","To make the output, you have to...find unique 3x3 pattern and replicate this 3x3 grid pattern to the output grid."
