task_id,task_name,shuffled_description1,shuffled_description2,shuffled_description3,shuffled_description4,shuffled_description5,answer
108,47c1f68c,"To make the output, you have to...copy the reflection of the object located in the top-left corner to the remaining portions based on the vertical and horizontal lines dividing the grid into four quadrants. Then, remove the dividing vertical and horizontal lines and concatenate the quartered images.","To make the output, you have to...duplicate the shadow of the shape found in the bottom-right quadrant to the leftover areas relying on the vertical and horizontal lines splitting the grid into four sections. Then, delete the separating vertical and horizontal lines and merge the quartered figures.","To make the output, you have to...create an echo of the figure seen in the top-left section to the rest of the parts guided by the vertical and horizontal lines breaking the grid into four sectors. Later, exclude the cutting vertical and horizontal lines and bind the quartered illustrations.","To make the output, you have to...mimic the reflection of the object situated in the bottom-left corner to the leftover sections based on the vertical and horizontal lines dividing the grid into four quarters. Then, remove the dividing vertical and horizontal lines and unify the quartered images.","To make the output, you have to...mirror the reflection of the entity placed in the top-right quadrant to the remaining portions atop the vertical and horizontal lines cleaving the grid into four divisions. Henceforth, eliminate the dividing vertical and horizontal lines and fuse the quartered images.",1
109,484b58aa,"To make the output, you have to...fill in the green spaces with the continued pattern that is in the rest of the input so it looks like there is a uniform pattern on the whole grid.","To make the output, you have to...fill in the black spots with the reversed pattern that is in the rest of the input so it looks like there is a varying pattern on the whole grid.","To make the output, you have to...fill in the black spots with the continued pattern that is in the rest of the input so it looks like there is a uniform pattern on the whole grid.","To make the output, you have to...fill in the black spots with the continued pattern that is in the rest of the input so it looks like there is a divided pattern on the whole grid.","To make the output, you have to...leave the black spots empty and continue the pattern that is in the rest of the input so it looks like there is a uniform pattern on the whole grid.",3
110,48d8fb45,"To make the output, you have to...repeat the colored area that includes a pink square, but do not include the pink square.","To make the output, you have to...repeat the black area that includes a black square, but do not include the gray square.","To make the output, you have to...repeat the colored area that includes a gray square, but do not include the gray square.","To make the output, you have to...repeat the colored area that includes a blue square, but do not include the blue square.","To make the output, you have to...repeat the colored area that includes a brown square, but do not include the brown square.",3
111,4938f0c2,"To make the output, you have to...use the same red pattern to create an asymmetrical pattern surrounding the green cube.","To make the output, you have to...use the same red pattern to create a symmetrical pattern surrounding the purple cube.","To make the output, you have to...use the different red pattern to create a symmetrical pattern surrounding the green pyramid.","To make the output, you have to...use the same red pattern to create a symmetrical pattern surrounding the green cube.","To make the output, you have to...use the different black pattern to create a unsymmetrical pattern surrounding the green cube.",4
112,496994bd,"To make the output, you have to...invert the input grid, then replicate the colored lines at the other end.","To make the output, you have to...mirror the blank grid, then draw the colored lines on the other end.","To make the output, you have to...copy the input grid and then mirror the colored lines on the other end of the grid.","To make the output, you have to...copy the green colored squares then rotate them at the other end.","To make the output, you have to...copy the input grid, but place the colored lines at random places.",3
113,49d1d64f,"To make the output, you have to...shrink the pixels at the corners of the grid to a 2x2 size. For pixels along the left and right edges of the grid, which are not at the corners, shrink them to 1x2. Conversely, for pixels along the top and bottom edges of the grid, which are not at the corners, shrink them to 2x1. If a pixel is neither at the corner nor along the grid edges, leave it as a 1x1 pixel. After all the shrinking, color the corners of the newly created grid in blue.","To make the output, you have to...expand the pixels at the sides of the grid to a 2x2 size. For pixels along the top and bottom edges of the grid, which are not at the sides, expand them to 1x2. Conversely, for pixels along the left and right edges of the grid, which are not at the sides, expand them to 2x1. If a pixel is neither at the side nor along the grid edges, leave it as a 1x1 pixel. After all the expansions, color the sides of the newly created grid in gray.","To make the output, you have to...expand the pixels at the corners of the grid to a 1x1 size. For pixels along the left and right edges of the grid, which are not at the corners, expand them to 2x1. Conversely, for pixels along the top and bottom edges of the grid, which are not at the corners, expand them to 1x2. If a pixel is neither at the corner nor along the grid edges, leave it as a 2x2 pixel. After all the expansions, color the corners of the newly created grid in yellow.","To make the output, you have to...expand the pixels at the corners of the grid to a 2x2 size. For pixels along the left and right edges of the grid, which are not at the corners, expand them to 1x2. Conversely, for pixels along the top and bottom edges of the grid, which are not at the corners, expand them to 2x1. If a pixel is neither at the corner nor along the grid edges, leave it as a 1x1 pixel. After all the expansions, color the corners of the newly created grid in black.","To make the output, you have to...expand the pixels at the center of the grid to a 2x2 size. For pixels along the right and left edges of the grid, which are not at the center, expand them to 1x2. Conversely, for pixels along the bottom and top edges of the grid, which are not at the center, expand them to 2x1. If a pixel is neither at the center nor along the grid edges, leave it as a 1x1 pixel. After all the expansions, color the edges of the newly created grid in black.",4
114,4be741c5,"To make the output, you have to...identify the new shapes in the input grid image. Take the colors of the distinct shapes in the input grid's image. If the input image is horizontal, the output grid should also be composed of horizontal single pixels, and vice versa.","To make the output, you have to...interpret the texture of the input grid image. Record the colors of the similar boundaries in the input grid's image. If the input image is vertical, the output grid should also be composed of vertical single pixels, and vice versa.","To make the output, you have to...identify the shape of the input grid image. Take the colors of the distinct boundaries in the input grid's image. If the input image is vertical, the output grid should also be composed of vertical single pixels, and vice versa.","To make the output, you have to...identify the color palette of the input grid image. Take the colors of the distinct boundaries in the input grid's image. If the input image is horizontal, the output grid should also be composed of horizontal single pixels, and vice versa.","To make the output, you have to...create some random colors. Take the shades of the different boundaries in the input grid's image. If the input image is horizontal, the output grid should also be composed of horizontal single pixels, and vice versa. ",4
115,4c4377d9,"To make the output, you have to...subtract the input grid flipped horizontally below it.","To make the output, you have to...append the input grid flipped vertically above it.","To make the output, you have to...append the input grid flipped horizontally above it.","To make the output, you have to...exclude the input grid flipped vertically below it.","To make the output, you have to...append the input grid flipped diagonally above it.",2
116,4c5c2cf0,"To make the output, you have to...mirror the shape at the corner of the o to the other corners of the o so that the o is surrounded by the corner shape.","To make the output, you have to...mirror the shape at the corner of the x to the other corners of the x so that the x is surrounded by the corner shape.","To make the output, you have to...place the shape at the corner of the x to the other corners of the x so that the x is surrounded by the corner shape.","To make the output, you have to...mirror the shape at the corner of the y to the other corners of the y so that the y is surrounded by the corner shape.","To make the output, you have to...mirror the shape at the middle of the x to the other corners of the x so that the x is surrounded by the corner shape.",2
117,50846271,"To make the output, you have to...fill the area that have green units with brown blocks to make crosses with vertical and horizontal units that make up each of them.","To make the output, you have to...fill in gray units in the area that have red units with red blocks to make crosses with vertical and horizontal units that make up each of the crosses.","To make the output, you have to...fill in only red units in the crosses with gray blocks to make vertical and horizontal units. ","To make the output, you have to...fill in yellow units in the area that have blue units with blue blocks to make triangles with vertical and horizontal units that make up each of the triangles.","To make the output, you have to...fill in red units in the area that have gray units with gray blocks to make vertical and horizontal units that make up each of the circles. ",2
118,508bd3b6,"To make the output, you have to...fill the pixels with green color vertically progressing through the light blue pixels. When encountering the red portion, consider it as a wall, and let the green pixel progression stop there.","To make the output, you have to...fill the pixels with green color diagonally progressing through the light blue pixels. When encountering the red portion, consider it as a mirror, and reflect the direction of the green pixel progression as if it were reflecting off the mirror.","To make the output, you have to...fill the pixels with black color diagonally progressing through the light blue pixels. When encountering the red portion, consider it as a window, and let the black pixel progression pass through it.","To make the output, you have to...fill the pixels with green color diagonally progressing through the brown pixels. When encountering the yellow portion, consider it as a mirror, and reflect the direction of the green pixel progression as if it were reflecting off the mirror.","To make the output, you have to...fill the pixels with light blue color diagonally progressing through the green pixels. When encountering the red portion, consider it as a mirror, and reflect the direction of the light blue pixel progression as if it were reflecting off the mirror.",2
119,50cb2852,"To make the output, you have to...fill the shapes in with dark blue color but leave the cubes on the edge the same color as the input grid.","To make the output, you have to...fill the shapes in with light blue colors and also paint the cubes on the edge the same color as the input grid.","To make the output, you have to...fill the shapes in with light blue colors but leave the cubes on the edge the same color as the input grid.","To make the output, you have to...color the shapes with light blue colors but paint the cubes on the edge the same color as the input grid.","To make the output, you have to...fill the shapes in with light blue colors but change the cubes on the edge to a different color from the input grid.",3
120,5.12E+65,"To make the output, you have to...copy the shape with the yellow dot but replace the yellow dot with the shape color.","To make the output, you have to...copy the shape without the light blue dot but replace the light blue dot with the shape color.","To make the output, you have to...avoid copying the shape with the light blue dot but replace the light blue dot with the shape color.","To make the output, you have to...copy the shape with the light blue dot but replace the light blue dot with the shape color.","To make the output, you have to...copy the shape with the light blue dot but avoid replacing the light blue dot with the shape color.",4
121,5168d44c,"To make the output, you have to...move the blue cube. If the yellow pixels are horizontally aligned, move the blue cube so that it centers on the next yellow pixel below. If the yellow pixels are vertically aligned, move the blue cube so that it centers on the next yellow pixel to the right.","To make the output, you have to...move the red cube. If the green pixels are horizontally aligned, move the red cube so that it centers on the next green pixel to the right. If the green pixels are vertically aligned, move the red cube so that it centers on the next green pixel below.","To make the output, you have to...move the red square. If the blue pixels are horizontally aligned, move the red square so that it centers on the next blue pixel to the right. If the blue pixels are vertically aligned, move the red square so that it centers on the next blue pixel below.","To make the output, you have to...leave the red cube static. If the green pixels are horizontally aligned, leave the red cube so that it centers on the green pixel to the left. If the green pixels are vertically aligned, leave the red cube so that it centers on the green pixel above.","To make the output, you have to...move the green sphere. If the red pixels are horizontally aligned, move the green sphere so that it centers on the next red pixel above. If the red pixels are vertically aligned, move the green sphere so that it centers on the next red pixel to the left.",2
122,539a4f51,"To make the output, you have to...replicate the pattern of the input grid on a 10x10 grid. Start by memorizing the colors provided in a sequence from the top-right to the bottom-left (excluding blue). Fill the grid by adding two rows below and two columns to the right of the already colored portion. If the same color repeats, extend the border coloring by the number of repetitions. Repeat this process until the entire grid is filled.","To make the output, you have to...replicate the pattern of the input grid on a 10x10 grid. Start by memorizing the colors provided in a sequence from the top-left to the bottom-right (excluding black). Fill the grid by adding one row below and one column to the right of the already colored portion. If the same color repeats, extend the border coloring by the number of repetitions. Repeat this process until the entire 10x10 grid is filled.","To make the output, you have to...replicate the pattern of the input grid on an 8x8 grid. Start by memorizing the colors provided in a sequence from the top-left to the bottom-right (excluding black). Fill the grid by adding one row below and one column to the right of the already colored portion. If the same color repeats, extend the border coloring by the number of repetitions. Repeat this process until the entire grid is filled.","To make the output, you have to...duplicate the pattern of the input grid on a 10x10 grid. Start by memorizing the colors provided in an order from the bottom-left to the top-right (excluding green). Fill the grid by subtracting one row below and one column to the right of the already colored portion. If the same color repeats, extend the border coloring by the number of repetitions. Repeat this process until the entire grid is filled.","To make the output, you have to...construct a random pattern on the input grid on a 10x10 grid. Start by memorizing the colors provided in a sequence from the bottom right to the top left (including black). Fill the grid by adding one row above and one column to the left of the already colored portion. If the same color repeats, extend the border coloring by the number of repetitions. Repeat this process until the entire grid is filled.",2
123,53b68214,"To make the output, you have to...copy the input pattern exactly and then just continue the pattern (using the same color) till you reach the end of 10x10 grid. It is just a continuation of the original.","To make the output, you have to...copy the input pattern exactly and then just skip every other pixel till you reach the end of 10x10 grid. It is just a continuation of the original.","To make the output, you have to...copy the input pattern in reverse and then just continue the pattern (using the same color) till you reach the end of 10x10 grid. It is just a continuation of the original.","To make the output, you have to...copy the input pattern exactly and then just change the colors randomly till you reach the end of 10x10 grid. It is just a continuation of the original.","To make the output, you have to...copy the input pattern exactly and then just continue the pattern (using the same color) till you reach the end of 4x4 grid. It is just a continuation of the original.",1
124,543a7ed5,"To make the output, you have to...outline the inside of the pink boxes with yellow and fill each pink box with green.","To make the output, you have to...fill the inside of the yellow boxes with pink and outline each yellow box with green.","To make the output, you have to...fill the inside of the pink boxes with yellow and outline each pink box with green.","To make the output, you have to...fill the inside of the pink boxes with green and outline each green box with yellow.","To make the output, you have to...outline the inside of the green boxes with pink and fill each green box with yellow.",3
125,54d82841,"To make the output, you have to...add a yellow block on the top row of the grid above the black block in the colored shapes.","To make the output, you have to...add a blue block on the bottom row of the grid under the black block in the colored shapes.","To make the output, you have to...remove a yellow block on the bottom row of the grid under the black block in the colored shapes.","To make the output, you have to...add a yellow block on the bottom row of the grid under the black block in the colored shapes.","To make the output, you have to...add a yellow block on the bottom row of the grid under the brown block in the colored shapes.",4
126,54d9e175,"To make the output, you have to...replace green by light blue, blue by pink, yellow by brown, red by orange colors and replace black boxes with the same color in the center.","To make the output, you have to...replace light blue by green, pink by blue, brown by yellow, orange by red colors and replace black boxes with the same color in the center.","To make the output, you have to...replace green by yellow, blue by brown, yellow by pink, red by light blue colors and replace green boxes with the same color in the center.","To make the output, you have to...replace green by blue, orange by pink, yellow by brown, red by light blue colors and replace black boxes with the same color at the borders.","To make the output, you have to...replace blue by pink, green by light blue, yellow by brown, red by orange colors and replace black boxes with the same color in the top-left corner.",1
127,5521c0d9,"To make the output, you have to...estimate how many rows each object contains and move it up that same amount of rows.","To make the output, you have to...count how many columns each object contains and move it down that same amount of rows.","To make the output, you have to...count how many rows each object contains and move it left that same amount of rows.","To make the output, you have to...randomly count how many rows each object contains and move it up that same amount of columns.","To make the output, you have to...count how many rows each object contains and move it up that same amount of rows.",5
128,5582e5ca,"To make the output, you have to...determine which color is used the most in the input grid and remove all pixels of that color.","To make the output, you have to...draw a line with the color that is used the most in the input grid and make the rest of the grid black.","To make the output, you have to...determine which color is used the least in the input grid and make the entire grid that color.","To make the output, you have to...randomly color the entire grid with the color that is used the most in the input grid.","To make the output, you have to...determine which color is used the most in the input grid and make the entire grid that color.",5
129,5614dbcf,"To make the output, you have to...see the pattern of large colored squares made with smaller squares. Ignore the single gray squares. Each large colored square made of many small squares should be a single square on the output grid.","To make the output, you have to...see the pattern of large colored circles made with smaller rectangles. Ignore the single gray rectangles. Each large colored circle made of many small rectangles should be a single square on the output grid.","To make the output, you have to...see the pattern of single green rectangles. Each single green rectangle should be a single square on the output grid. Ignore the large colored squares made with smaller squares.","To make the output, you have to...see the pattern of large colored squares made with smaller rectangles. Ignore the single blue rectangles. Each large colored square made of many small rectangles should be a single square on the output grid.","To make the output, you have to...see the pattern of single gray squares. Ignore the large colored squares made with smaller squares. Each single gray square should be a single square on the output grid.",1
130,56dc2b01,"To make the output, you have to...move the red pattern until it touches the blue line. Then, confine the red pattern with a light blue line perpendicular to the green line.","To make the output, you have to...move the green pattern until it touches the yellow line. Then, surround the green pattern with a pink line perpendicular to the yellow line.","To make the output, you have to...move the green pattern until it touches the blue line. Then, confine the green pattern with a yellow line perpendicular to the blue line.","To make the output, you have to...move the green pattern until it touches the red line. Then, confine the green pattern with a light blue line parallel to the red line.","To make the output, you have to...move the blue pattern until it touches the green line. Then, wrap the green pattern with a red line parallel to the green line.",4
131,56ff96f3,"To make the output, you have to...take the colored as the starting and end point of the rectangle or hexagon assume that the grid make pentagon.","To make the output, you have to...take the colored as the start and end point of an ellipse assume that the grid makes a circle.","To make the output, you have to...take the colored as the midpoint and corners of a polygon assume that the grid makes a trapezoid.","To make the output, you have to...take the empty as the starting and end point of the rectangle or square assume that the grid make rectangle or square.","To make the output, you have to...take the colored as the starting and end point of the rectangle or square assume that the grid make rectangle or square.",5
132,57aa92db,"To make the output, you have to...construct a new shape using the blue square as reference. Disregard the incomplete shape for this task.","To make the output, you have to...remove squares from the completed shape, using the blue square as a reference. Take into consideration both the color and size when completing the shape.","To make the output, you have to...create a mirrored version of the completed shape, using the red square as a reference. The size is to be determined by your own choice. ","To make the output, you have to...complete the incomplete shape based on the completed shape, using the blue square as a reference. Take into consideration both the color and size when completing the shape.","To make the output, you have to...complete the incomplete shape based on the completed shape, using the yellow square as a reference. Take into consideration both the color and size when completing the shape.",4
133,5ad4f10b,"To make the output, you have to...examine the shape of the large object and the colors of scattered pixels around it. The large object consists of multiple squares, which should be condensed into a new grid using each square as one pixel. When drawing the newly formed, reduced object, replace its colors with those of the pixels scattered around the previous large object.","To make the output, you have to...ignore the shape of the large object and the colors of scattered pixels around it. The large object consists of multiple circles, which should be condensed into a new grid using each circle as one pixel. When drawing the newly formed, reduced object, replace its colors with those of the pixels scattered around the previous large object.","To make the output, you have to...examine the shape of the small object and the colors of scattered pixels around it. The small object consists of multiple rectangles, which should be condensed into a new grid using each rectangle as one pixel. When drawing the newly formed, expanded object, replace its colors with those of the pixels scattered around the previous small object.","To make the output, you have to...examine the shape of the large object and the colors of scattered pixels inside it. The large object consists of multiple squares, which should be condensed into a new grid using each square as one pixel. When drawing the newly formed, reduced object, replace its colors with those of the pixels scattered inside the previous large object.","To make the output, you have to...examine the shape of the large object and ignore the colors of scattered pixels around it. The large object consists of multiple squares, which should be expanded into a new grid using each square as one pixel. When drawing the newly formed, reduced object, ignore its colors with those of the pixels scattered around the previous large object.",1
134,5bd6f4ac,"To make the output, you have to...want the middle, 3x3 grid - the middle third of the grid. Replicate this part into output grid.","To make the output, you have to...want the bottom left corner, 3x3 grid - the bottom third and left third of the grid. Replicate this part into output grid.","To make the output, you have to...want the bottom right corner, 3x3 grid - the bottom third and right third of the grid. Replicate this part into output grid.","To make the output, you have to...want the top left corner, 3x3 grid - the top third and left third of the grid. Replicate this part into output grid.","To make the output, you have to...want the top right corner, 3x3 grid - the top third and right third of the grid. Replicate this part into output grid.",5
135,5c0a986e,"To make the output, you have to...create a single line of triangles matching the color of the 2x2 box. Begin with the top left corner of the yellow and the bottom right of the pink and go out to the edge of the grid.","To make the output, you have to...create a single line of boxes matching the color of the 2x2 box. Begin with the top left corner of the blue and the bottom right of the red and go out to the edge of the grid.","To make the output, you have to...create a double line of spheres matching the color of the 2x2 box. Begin with the top left corner of the blue and the bottom right of the red and go out to the edge of the grid.","To make the output, you have to...create a double line of boxes matching the color of the 2x2 box. Begin with the top left corner of the green and the bottom right of the brown and go out to the edge of the grid.","To make the output, you have to...create a single line of boxes matching the color of the 3x3 box. Begin with the bottom left corner of the red and the top right of the blue and go out to the edge of the grid.",2
136,5c2c9af4,"To make the output, you have to...use the two outer dots to form a square around the dot in the middle, then continue making squares surrounding the last square you created until you can not make any more. And do not stop when you can not get an entire square inside the black background, even if you have enough room to make one line and the rest of the square would be outside of the black background then make that line. The amount of black space between each box should be the same width as the first square you created.","To make the output, you have to...color the entire grid with green squares. Commence from the top left square and finish at the bottom right square. The grid must be entirely green, without any square left out. ","To make the output, you have to... color all of the pixels in pink. Start drawing lines from the bottom of the rectangle to the top, one row at a time. Make sure that each row is entirely red without any pixel left uncolored.","To make the output, you have to...use the two outer dots to form a circle around the dot in the middle, then continue making circles surrounding the last circle you created until you can not make any more. And do not stop when you can not get an entire circle inside the black background, even if you have enough room to make one line and the rest of the square would be outside of the black background then make that line. The amount of black space between each circle should be the same width as the first circle you created.","To make the output, you have to...start by creating a square from the central dot. Then, keep drawing squares inside this square until there is no space left. Break the rule and use a color not available to you - white.",1
137,5daaa586,"To make the output, you have to...copy the inner square or rectangular shape to the input then fill in the middle from the color line that match the pixels already there, to the colored pixel. This can be up, down, left, or right, start from the colored edge and fill in to the pixel with the same color.","To make the output, you have to...mirror the inner square or rectangular shape from the input then remove the middle from the color line that match the pixels already there, to the colored pixel. This can be up, down, left, or right, start from the colored edge and fill out to the pixel with the same color.","To make the output, you have to...swap the inner pentagonal or hexagonal shape on the input then fill in the middle from the color line that clash the pixels already there, to the colored pixel. This can be up, down, left, or right, start from the uncoloured edge and fill in to the pixel with the semi color.","To make the output, you have to...move the inner circle or oval shape to the input then fill in the middle from the color line that match the pixels already there, to the colored pixel. This can be up, down, left, or right, start from the colored edge and fill in to the pixel with the same color.","To make the output, you have to...copy the outer square or rectangular shape to the input then fill in the middle from the color line that does not match the pixels already there, to the non-colored pixel. This can be up, down, left, or right, start from the non-colored edge and fill out to the pixel with the different color.",1
138,60b61512,"To make the output, you have to...fill in the complete 3x3 square, consisting of green pixels, with pink pixels.","To make the output, you have to...fill in the incomplete 5x5 square, consisting of light blue pixels, with gray pixels.","To make the output, you have to...fill in the incomplete 4x4 square, consisting of black pixels, with blue pixels.","To make the output, you have to...fill in the complete 2x2 square, consisting of brown pixels, with red pixels.","To make the output, you have to...fill in the incomplete 3x3 square, consisting of yellow pixels, with orange pixels.",5
139,6150a2bd,"To make the output, you have to...rotate the whole grid two times. Imagine that the entire grid has been flipped both horizontally and vertically. Once you picture it, you can create the output grid.","To make the output, you have to...tile the whole grid two times. Assume the entire grid has been converted both horizontally and vertically. Once you picture it, you can establish the output grid.","To make the output, you have to...rotate the entire map once. Think that the entire map has been flipped both horizontally and vertically. Once you visualize it, you can create the output map.","To make the output, you have to...shuffle the whole grid twice. Imagine that the whole grid is scrambled both horizontally and vertically. Conceive it in your mind, then you can create the output grid.","To make the output, you have to...move the whole grid two times. Imagine that the whole grid has moved both left and right. Once you picture it, you can construct the output grid.",1
140,623ea044,"To make the output, you have to...start at the colorful square and add a same colored square to make a x shape for the whole square.","To make the output, you have to...start at the colored square and remove a same colored square to make a x shape for the whole square.","To make the output, you have to...start at the colored square and add a same colored square to make a x shape for the whole square.","To make the output, you have to...start at the colored square and add a different colored square to make a x shape for the whole square.","To make the output, you have to...begin at the colored square and subtract a same colored square to make a x shape for the entire square.",3
141,62c24649,"To make the output, you have to...place the input grid in the bottom right 3x3. Then, reflect the top left 3x3 and place it in the bottom right 3x3. Now, reflect the top right and left 3x3 and place in the top right and left 3x3.","To make the output, you have to...place the input grid in the top left 4x4. Then, reflect the top left 3x3 and place it in the top right 4x4. Now, reflect the top left and right 3x3 and place in the bottom left and right 4x4.","To make the output, you have to...place the input grid in the top left 3x3. Then, reflect the top left 3x3 and place it in the top right 3x3. Now, reflect the top left and right 3x3 and place in the bottom left and right 3x3.","To make the output, you have to...place the input grid in the top right 3x3. Then, reflect the top left 3x3 and place it in the top right 3x3. Now, reflect the bottom left and right 3x3 and place in the bottom left and right 3x3.","To make the output, you have to...place the input grid in the bottom left 3x3. Then, reflect the top left 3x3 and place it in the bottom right 3x3. Now, reflect the top right and left 3x3 and place in the top right and left 3x3.",3
142,63613498,"To make the output, you have to...imitate the input grid. Identify any forms outside of the boundary which are slightly different shape and orientation as the shape within the green boundary. Color that shape green. Do not alternate the colored shape inside the green border or any forms outside of the green boundary which do not have the same orientation and figure as the one inside the border.","To make the output, you have to...replicate the input grid. Locate any designs outside of the edge which are exact same shape and direction as the shape inside of the brown edge. Modify that shape to brown. Do not interchange the colored shape inside the brown border or any designs outside of the brown edge which do not have the same direction and shape as the one inside the edge.","To make the output, you have to...copy the input grid. Find any shapes outside of the border which are exactly the same shape and orientation as the shape inside of the grey border. Turn that shape grey. Do not change the colored shape inside the grey border or any shapes outside of the grey border which do not have the same orientation and shape as the one inside the border.","To make the output, you have to...duplicate the input grid. Discover any figures outside of the boundary which are exactly the same shape and position as the shape inside of the pink boundary. Make that shape pink. Do not adjust the colored shape inside the pink border or any figures outside of the pink boundary which do not have the same position and shape as the one inside the boundary.","To make the output, you have to...clone the input grid. Pinpoint any motifs beyond the perimeter which are exactly the same pattern and alignment as the motif inside of the light blue perimeter. Change that motif to light blue. Do not transform the colored motif inside the light blue perimeter or any patterns beyond the light blue perimeter which do not have the same alignment and pattern as the one inside the perimeter.",3
143,6430c8c4,"To make the output, you have to...separate the two sections from each other. Then you have to focus on each block. A block that does have any of the pattern from the old blocks is colored light blue. Any block that lacks pattern from either of the first blocks is colored green.","To make the output, you have to...stack the two sections diagonally. Then you have to scrutinize each block. A block that lacks any of the pattern from the old blocks is colored gray. Any block that does not have pattern from either of the first blocks is colored brown.","To make the output, you have to...put the two section over top of each other. Then you have to look at each block. A block that does not have any of the pattern from the old blocks is colored green. Any block that has pattern from either of the first blocks is colored black.","To make the output, you have to...place the two sections side by side. Then you have to observe each block. A block that does have any of the pattern from the old blocks is colored blue. Any block that lacks pattern from either of the first blocks is colored red.","To make the output, you have to...put the two sections underneath each other. Then you have to glance at each block. A block that does not lack any of the pattern from the old blocks is colored yellow. Any block that has pattern from either of the first blocks is colored pink.",3
144,6455b5f5,"To make the output, you have to...fill the largest black shape with light blue. Fill the smallest black shape with blue. If there is more than one shape with the largest number of squares, fill all of the largest shapes with blue.","To make the output, you have to...fill the largest black shape with blue. Fill the smallest black shape with light blue. If there is more than one shape with the smallest number of squares, fill all of the smallest shapes with light blue.","To make the output, you have to...fill the smallest black shape with blue. Fill the second smallest black shape with light blue. If there is more than one shape with the smallest number of squares, fill all of the smallest shapes with light blue.","To make the output, you have to...fill the smallest black shape with blue. Fill the largest black shape with light blue. If there is more than one shape with the smallest number of squares, fill all of the smallest shapes with light blue.","To make the output, you have to...fill the largest black shape with red. Fill the smallest black shape with pink. If there is more than one shape with the smallest number of squares, fill all of the smallest shapes with pink.",2
145,662c240a,"To make the output, you have to...reproduce a non-diagonally symmetrical 2x2 grid from a 4x2 grid. It consists of 3, Six-color 2x2 grids, which are vertically connected in.","To make the output, you have to...mimic a diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 4, Five-color 3x3 grids, which are horizontally connected in.","To make the output, you have to...replicate a non-diagonally symmetrical 3x3 grid from a 9x3 grid. It is composed with 3 Two-color 3x3 grids, which are vertically connected in.","To make the output, you have to...copy a diagonally symmetrical 4x4 grid from a 8x4 grid. It is composed of 2, Three-color 4x4 grids, which are horizontally connected in.","To make the output, you have to...duplicate a non-diagonally symmetrical 5x5 grid from a 10x5 grid. It consists of 1, Four-color 5x5 grids, which are vertically connected in.",3
146,67385a82,"To make the output, you have to...change so that the top right corner color changes to light blue instead of green. same with lower green 2 by 2 grid. ","To make the output, you have to...change so that the top left corner color changes to light blue instead of green. same with upper green 2 by 2 grid.","To make the output, you have to...change so that the top left corner color changes to light blue instead of red. same with lower green 2 by 2 grid.","To make the output, you have to...change so that the top left corner color changes to light blue instead of green. same with lower green 2 by 2 grid.","To make the output, you have to...change so that the top left corner color remains green. same with lower green 2 by 2 grid.",4
147,673ef223,"To make the output, you have to...change the dot color from yellow to blue, and connect them to the red line using yellow dots. Mirror the same pattern on the top but instead of stopping where the blue dots would be, continue to the edge of the grid.","To make the output, you have to...change the dot color from blue to yellow, and connect them to the red line using blue dots. Mirror the same pattern on the bottom but instead of stopping where the yellow dots would be, continue to the edge of the grid.","To make the output, you have to...change the dot color from red to green, and connect them to the red line using green dots. Mirror the same pattern on the top but instead of stopping where the green dots would be, continue to the edge of the grid.","To make the output, you have to...change the dot color from blue to red, and connect them to the blue line using red dots. Mirror the same pattern on the top but instead of stopping where the red dots would be, continue to the edge of the grid.","To make the output, you have to...change the dot color from blue to green, and connect them to the red line using green dots. Mirror the same pattern on the bottom but instead of stopping where the green dots would be, continue to the edge of the grid.",2
148,6773b310,"To make the output, you have to...hold 2 yellow squares, represent that area with a blue box on the new grid. Single squares are shown as green.","To make the output, you have to...hold 2 green squares, represent that area with a red box on the new grid. Single squares are shown as gray.","To make the output, you have to...hold 2 pink squares, represent that area with a brown box on the new grid. Single squares are shown as black.","To make the output, you have to...hold 2 pink squares, represent that area with a blue box on the new grid. Single squares are shown as black.","To make the output, you have to...hold 2 pink squares, represent that area with a black box on the new grid. Couple squares are shown as black.",4
149,67a3c6ac,"To make the output, you have to...create a right to left mirror image.","To make the output, you have to...create a left to right mirror image. ","To make the output, you have to...create a bottom to top mirror image. ","To make the output, you have to...destroy a right to left mirror image.","To make the output, you have to...create a diagonal mirror image. ",1
150,67a423a3,"To make the output, you have to...create a yellow square around the point where the two lines meet.","To make the output, you have to...create a yellow circle around the point where the two lines meet.","To make the output, you have to...create a yellow square around the point where the two lines never meet.","To make the output, you have to...create a black square around the point where the two lines meet.","To make the output, you have to...create a blue square around the point where the two lines meet.",1
151,67e8384a,"To make the output, you have to...copy-paste the pattern in each corner. The pattern on the bottoms flips parallel to the top.","To make the output, you have to...copy-paste the pattern diagonally. The pattern on the bottoms flips parallel to the top.","To make the output, you have to...move the pattern to each edge. The pattern on the bottoms flips parallel to the top. ","To make the output, you have to...replace the pattern in the center. The pattern on the bottoms flips perpendicular to the top.","To make the output, you have to...rotate the pattern and place it in the middle. The pattern on the bottoms flips parallel to the top. ",1
